Assessment_Sequence_ID,Student_ID,Student or LA,PRE Agree To Participate,PRE Submitted,PRE Duration (Seconds),POST Agree To Participate,POST Submitted,POST Duration (Seconds),PRE % Answered,POST % Answered,PRE-score,POST-score,Effect-size,Learning_gain,male,female,transgender,other,Hispanic,white,black,asian,american_indian,hawaiian_or_other_pacific_islander,other,Year_in_school,First_time,0min_week_wLA,1-5min_week_wLA,6-15min_week_wLA,16-30min_week_wLA,30+min_week_wLA
10,797,0,I agree to participate,2015-08-26 00:00:00,2535.042,I agree to participate,,,100,,14.89361702,,,,1,0,0,0,0,0,0,1,0,0,0,4th,0,1,0,0,0,0
10,796,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
10,798,0,I agree to participate,2015-08-26 00:00:00,2717.252,,,,100,,93.61702128,,,,1,0,0,0,1,1,0,0,0,0,0,4th,0,1,0,0,0,0
10,799,0,I agree to participate,2015-08-26 00:00:00,1148.367,I agree to participate,,,100,,23.40425532,,,,1,0,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
10,800,0,I agree to participate,2015-08-26 00:00:00,1726.3,I agree to participate,,,100,,27.65957447,,,,1,0,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
10,801,0,I agree to participate,2015-08-26 00:00:00,1333.623,,,,100,,27.65957447,,,,1,0,0,0,0,1,0,0,0,0,0,3rd,1,1,0,0,0,0
10,802,0,I agree to participate,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,0,1,0,0,0,0
10,803,0,I agree to participate,2015-08-26 00:00:00,1218.204,,,,100,,27.65957447,,,,0,1,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
10,804,0,I agree to participate,2015-08-26 00:00:00,3494.493,,,,100,,14.89361702,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
10,805,0,I agree to participate,2015-08-26 00:00:00,1259.708,,,,100,,14.89361702,,,,0,1,0,0,0,1,0,0,0,0,0,2nd,0,1,0,0,0,0
10,806,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
10,807,0,I agree to participate,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
10,808,0,I agree to participate,2015-08-26 00:00:00,3048.746,,,,100,,70.21276596,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
10,809,0,I agree to participate,2015-08-26 00:00:00,1854.829,,,,100,,17.0212766,,,,1,0,0,0,0,0,1,0,0,0,0,2nd,1,1,0,0,0,0
10,810,0,I agree to participate,2015-08-26 00:00:00,239.171,,,,100,,12.76595745,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
10,811,0,I agree to participate,2015-08-26 00:00:00,4149.226,,,,100,,10.63829787,,,,1,0,0,0,0,0,0,1,0,0,0,2nd,1,1,0,0,0,0
10,812,0,I agree to participate,2015-08-26 00:00:00,1964.963,,,,100,,17.0212766,,,,0,1,0,0,1,1,0,0,0,0,0,2nd,0,1,0,0,0,0
10,813,0,I agree to participate,2015-08-26 00:00:00,2274.996,,,,100,,57.44680851,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,0,1,0,0,0,0
10,814,0,I agree to participate,2015-08-26 00:00:00,741.974,,,,100,,17.0212766,,,,1,0,0,0,0,0,0,1,0,0,0,2nd,1,1,0,0,0,0
10,815,0,I agree to participate,2015-08-26 00:00:00,1102.23,,,,100,,38.29787234,,,,1,0,0,0,0,1,0,0,0,0,0,2nd,1,1,0,0,0,0
10,816,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
